,GPStime,peakFreq,snr,amplitude,centralFreq,duration,bandwidth,chisq,chisqDof,confidence,id,ifo,label,imgUrl,Q-value
146102,1240196384,211.477,11.337,4.2e-23,1786.14,0.064,3411.1660159999997,0,0,0.9129999999999999,IxXTMrZRrV,H1,Repeating_Blips,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/Sg7mc9KdEY/IxXTMrZRrV.png,5.657
192441,1250900541,333.03,7.621,3e-23,317.065,0.115,498.774109,0,0,0.585,LqvAzSG0jb,H1,Repeating_Blips,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/vG9YbpjtRI/LqvAzSG0jb.png,5.657
166190,1251548848,217.74099999999999,11.754000000000001,3.8500000000000003e-23,1031.249,0.25,1990.9389649999998,0,0,0.805,VdK1sdsdpH,L1,Repeating_Blips,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/sLXErD10sO/VdK1sdsdpH.png,5.657
165962,1249576406,115.113,20.202,8.549999999999999e-23,3139.188,1.25,6231.590332,0,0,0.8059999999999999,huNSs5RTC4,H1,Repeating_Blips,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/uVsEfE1SqH/huNSs5RTC4.png,5.657
136292,1241619223,75.263,22.703000000000003,1.1400000000000002e-22,2636.031,1.0,5234.22998,0,0,0.9440000000000001,wUa1KejYdr,H1,Repeating_Blips,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/CuxJCnObZq/wUa1KejYdr.png,5.657
155451,1244872429,985.9639999999999,7.885,6.41e-23,2969.653,0.396,5593.687011999999,0,0,0.871,vuPuoWVnlN,H1,Wandering_Line,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/KJTfBC5dJw/vuPuoWVnlN.png,22.627
155975,1244829968,287.344,118.105,4.67e-22,3986.938,5.607,7927.089844,0,0,0.868,WmfhTSaNbt,H1,Wandering_Line,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/KJTfBC5dJw/WmfhTSaNbt.png,45.255
164081,1253547937,851.485,12.995999999999999,7.2e-23,921.8330000000001,0.172,806.5411379999999,0,0,0.8190000000000001,tMKOVgypcg,L1,Wandering_Line,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/tClQeaHzVD/tMKOVgypcg.png,45.255
177487,1238189962,716.195,9.971,4.6799999999999994e-23,4036.002,3.2030000000000003,7828.960448999999,0,0,0.7140000000000001,YO4OL5ikx2,L1,Wandering_Line,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/GSSot5Bw40/YO4OL5ikx2.png,45.255
95888,1238190478,565.384,12.052999999999999,5.2e-23,3984.4109999999996,5.5520000000000005,7932.144043000001,0,0,0.9940000000000001,Y98wwzna3y,L1,Wandering_Line,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/GSSot5Bw40/Y98wwzna3y.png,45.255
190547,1238189203,825.3610000000001,9.287,4.9100000000000004e-23,3984.217,2.548,7932.532227,0,0,0.604,jcbXPvDDyY,L1,Wandering_Line,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/GSSot5Bw40/jcbXPvDDyY.png,45.255
109494,1238180519,581.656,7.757000000000001,3.19e-23,3659.8990000000003,0.508,6503.84668,0,0,0.986,ThjPF7clXj,L1,Wandering_Line,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/9zCpdxuByn/ThjPF7clXj.png,45.255
111497,1238180521,1251.338,10.285,7.209999999999999e-23,3884.268,5.5,7726.960937999999,0,0,0.9840000000000001,5GelqYnbym,L1,Wandering_Line,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/9zCpdxuByn/5GelqYnbym.png,45.255
189148,1238189118,969.33,9.865,5.91e-23,3719.13,2.437,7165.202637,0,0,0.618,qslaP0eVzy,L1,Wandering_Line,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/GSSot5Bw40/qslaP0eVzy.png,45.255
195856,1249382738,1327.3629999999998,12.181,2.03e-22,2555.735,2.353,4370.756836,0,0,0.5529999999999999,TJ0YbxvsxG,H1,Wandering_Line,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/WCCmlUXxkG/TJ0YbxvsxG.png,45.255
157370,1243147656,1198.978,11.945,7.690000000000001e-23,1363.63,0.023,1326.175415,0,0,0.86,GcyhFJ9jeI,L1,Violin_Mode,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/fUMzvadO8n/GcyhFJ9jeI.png,11.314
